name,code,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,01,0,1634,1354344,23668,234145,100249
Burkina Faso,02,0,8562,1433085,972539,347501,1707613
Cape Verde,04,0,0,1065,0,0,0
Cote d'Ivoire,03,0,18780,680000,52275,2053520,51344
Gambia,06,0,0,30289,76816,46674,20289
Ghana,05,0,0,1762000,155000,604000,259000
Guinea,07,0,473334,698462,195178,1970515,38000
Guinea-Bissau,08,0,609,7250,10000,133000,14000
Liberia,15,0,0,0,0,237000,0
Mali,09,45668,37284,1744026,1715044,2166830,1271880
Niger,10,1802,3722,56597,3321752,103941,1425982
Nigeria,11,91300,82327,10058968,1398667,6002831,6883294
Senegal,12,0,2179,178732,408993,559021,102323
Sierra Leone,13,0,0,20812,40000,1204020,30000
Togo,14,0,0,833044,17542,147930,307579
