"annees","production","importation"
"0","40.288813743529","0"
"1","31.096296306398","0"
"2","31.146139847437","0"
"3","34.913330935006","0"
"4","35.105514556553","0"
"5","37.425760701487","0.10621559610224"
"6","38.459450605698","0.1688494362634"
"7","39.035139651355","0.2660242325382"
"8","39.644876371794","0.39560759428988"
"9","40.306820173784","0.55445457801896"
"10","41.141274812126","0.77128442773959"
"11","42.272694639099","1.0649550344774"
"12","43.619482337972","1.4923150260319"
"13","45.102275225099","2.1059215157323"
"14","46.94627467484","2.8740694047726"
"15","48.734323676095","3.8826455626395"
"16","50.547105720272","4.9963689663041"
"17","52.763537043852","6.4230994385013"
"18","55.538567206142","8.1671254614776"
"19","58.653147119126","10.782063090431"
"20","65.936907262859","14.05500309855"
"21","68.765868248212","17.708660670726"
"22","70.453220925274","21.645720390754"
"23","70.732729389831","25.3686931033"
"24","70.012647450417","28.989032200487"
"25","68.71992205156","33.352224888515"
"26","67.268318476326","38.320425874714"
"27","65.124847784277","43.883376021763"
"28","62.529981338337","49.905991038734"
"29","59.617282208023","55.28347152411"
"30","56.540230317494","59.313349518984"
"31","53.576130284427","62.313754601258"
"32","50.897551906679","64.128423833398"
"33","48.739296870675","64.685433337806"
"34","47.009541633998","64.732820002917"
"35","45.535681950452","64.794209350358"
"36","43.832745734459","64.180952746756"
"37","41.897830846776","62.481533974823"
"38","39.58499080776","59.89283973973"
"39","37.061822978706","56.039806189645"
"40","34.131703422756","51.734800405202"
"41","31.818290517017","47.91655025073"
"42","29.807124659559","44.949425617801"
"43","28.281019764089","42.638300471648"
"44","27.035363612326","41.400367325672"
"45","25.917461170928","40.367806203864"
"46","24.891073553376","38.961128670262"
"47","24.096581021135","37.841745469091"
"48","23.521887628853","36.955681986743"
"49","23.059379632883","35.758390443651"
"50","22.648261497525","34.698349976732"
"51","22.136555478032","33.686624233149"
"52","21.532732354096","32.324817509897"
"53","20.826849698161","30.489273010655"
"54","20.080539329844","28.137243277116"
"55","19.327217092317","25.552921181649"
"56","18.621790956998","22.691905269965"
"57","17.804624679617","19.679989747475"
"58","16.81403305802","16.416582829156"
"59","15.800911294894","13.399506265835"
"60","14.69225862245","10.942841267568"
"61","13.598557936087","8.6598788472412"
"62","12.611115907172","6.6290943135312"
"63","11.738656991734","5.1565729335558"
"64","10.957433543637","4.0520369325846"
"65","10.201678700771","3.2975821057347"
"66","9.444516768053","2.7170264079694"
"67","8.706244170574","2.2143709627562"
"68","7.9170321162753","1.771850620386"
"69","7.1684992651499","1.4103960827893"
"70","6.5465892765304","1.103561956286"
"71","6.0002228352855","0.86051667588292"
"72","5.401095022901","0.61694829861968"
"73","4.7634402114548","0.3901105643193"
"74","4.1338734001738","0.1762013868961"
"75","3.5342223961015","0.094767679435643"
"76","3.0427378462848","0.068662465096805"
"77","2.6992272826748","0.047786079456783"
"78","2.5286968822171","0.030297599501207"
"79","2.5182345517412","0.012293606159813"
"80","1.75","0"
